Child Entity CIK,Child Entity,Entity Type,Industry Group,Jurisdiction,Filing Date,Parent Entity Name,Clarification,Source File
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Michael Nash,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,William Stein,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Gary Sumers,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Kathleen Skero,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Dennis McDonagh,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,John Magliano,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Anthony Beovich,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Christopher James,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Matthew Skurbe,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Blackstone Real Estate Associates VII L.L.C.,"The General Partner of the Issuer (the ""GP"").",https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Stephen Schwarzman,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,Hamilton James,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2011-11-14,John Finley,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454111000001/primary_doc.xml
